web-scraper-order,web-scraper-start-url,ReviewTitle,ReviewContent,ReviewStars
"1706604080-15","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Pretty Case, but I'd rather have saved some money on a cheaper one","To be clear, I do like the design of this case.  It feels more premium than some of the cheaper models online with a good mix of a hard back (to help with wireless charging) and the soft bumper around the edge. This should be expected of a company like OtterBox at this point and at this price point.

I have dropped the phone once or twice from roughly 3 feet up  without a sign of damage to the device, so it does its job well.

However, I have to give it two stars for how poorly it has held up now that I'm almost one year to the day since I ordered it.

As you can see in the photos, the device yellows/browns pretty severely on about half the case (mostly the contact points for buttons and the charge port. Additionally, I noticed that the bottom of the case has started to completely separate.  Finally, as my finger points to in the image of the magsafe outline, the rectangular piece has fully fallen out of the case.  It is at least stuck to the back of my phone, so everything still functions, but worth noting.

I wouldn't care so much about the discoloration if this case weren't 2-3x the cost of some of the usual cases I've bought on here and if this hadn't all happened in under a year! My case on my last iPhone was roughly $10 and lasted 3 years before needing a replacement.  I'll be replacing this with something cheaper.","2.0 out of 5 stars"
"1706604080-16","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kinda Surprised","I was actually kind of surprised how quickly this phone case fell apart considering it’s an otterbox. Was great while it lasted though! I love the ability to remove the pop socket!","3.0 out of 5 stars"
"1706604080-17","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Discolors and stretches","The cover discolored and stretched around the volumes buttons and charger port.","3.0 out of 5 stars"
"1706604080-18","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Works fine but anchor magnet fell out","I love the clear basic case. It’s a hard plastic back and flexible bumper. Keeps my phone protected from falls and scratches. Only complaints are that the soft plastic always yellows and the little anchor magnet fell out when I took the case off. Honestly looks a little rough for only using it for 6 months but it’s cheaper than the apple case and probably provides better protection.","4.0 out of 5 stars"
"1706604080-19","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Simple, pretty, magnetic case","I really needed something that worked with my magsafe phone holder in my car. This baby works wonders when hitting the potholes of Atlanta and never falls off.  I've owned this for a few months now and can honestly say as a person who can be messy/clumsy/spills things easily - it has NOT yellowed, is VERY durable (I unintentionally) drop it at least once per day), and overall a solid case.","5.0 out of 5 stars"
"1706604080-20","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Doesn’t last","We purchased these August 2022 and they’re already pulling away from our phones. Both of them.
Our last Otterbox cases last for years and but these are disappointing, especially for the price.","2.0 out of 5 stars"
"1706604080-21","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Not long lasting","This case seemed to be fantastic but after only 4 months the rubber by the power port and speakers has come loose. Disappointing quality.","2.0 out of 5 stars"
"1706604080-22","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Falling Apart - Would Not Buy Again","Well after a few months of use, I can say that this case is not up to par with some other cases I have bought before. Rubber bumper insert on the case yellowed pretty bad, few weeks ago it started warping and does not look good. Also back is all scratched up. It is not like I have my keys in my pockets along with my phone. This may be mainly caused by it being on car mag chargers.

Thought going with Otterbox brand over a generic brand would give me better quality but I can see I am wrong.","2.0 out of 5 stars"
"1706604080-23","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Old Yeller","As with most clear cases, this one yellows and it does so very quickly. I figured spending a little more money with a company like OtterBox this might've been a non issue. I guess I'll stick with black from here on out.","2.0 out of 5 stars"
"1706604080-24","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Did not last at all","I really wanted to like this case, it was good and  slim and rated really well and I’ve liked the same case for previous phones. Unfortunately, this case just didn’t last. The bottom completely separated from the case. It made it hard to charge, especially on stand chargers so it defeated the point of the MagSafe piece. It started falling apart about 3 months into me owning it. For the price I expected better. I got much better protection from cheap Speigen cases!","2.0 out of 5 stars"
"1706604080-25","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Turns yellow very fast","I love this case. But the yellowing of the silicone is crazy. This is my second case from them because I really did like it. So this second one was kept out of the sun completely and babied. It yellowed just as quick. For that reason I wouldn’t buy. Sad because it’s an awesome design","3.0 out of 5 stars"
"1706604080-26","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sturdy Case, 10/10 would recommend buying, especially if you're clumsy like me!","I honestly have nothing bad to say about this phone case. It is cute, sturdy and has saved my phone on so many occasions. If you're clumsy like me and constantly drop your phone, do yourself a favor and buy this case today!","5.0 out of 5 stars"
"1706604080-27","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great case!","I was looking for a new case for a new look that wasn’t too loud. This case feels great and looks great!","5.0 out of 5 stars"
"1706604080-28","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Good Looking Case","Case looks good on iPhone 13 pro but isn't very durable.","3.0 out of 5 stars"
"1706604080-29","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Already yellow and falling apart after 2 months","I’ve only had this case 2 months and the sides are already yellow and the rubber pieces have separated from the plastic.","2.0 out of 5 stars"
"1706604080-30","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","My favorite case","This has been one of my favorite cases I’ve ever bought for any of my iPhone’s. It’s super light, thin but not to thin. It has great protection, my phone has fallen several times and it has not broken. Also great color choices.","5.0 out of 5 stars"
"1706604080-31","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Durable, some issues though","I've spent 6 months using this case now, it's sturdy and has a decent build quality; however, there seems to be a problem with how it seals around the camera bump and lots of dirt and dust from my pockets/the environment get under the back of the case. It has also taken on a blue hue from the dye in my jeans. If you're looking for something durable to protect your phone, this is it, but it doesn't hold its aesthetic charm over the long haul.","3.0 out of 5 stars"
"1706604080-32","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Yellowing","My phone case is turning yellow ... is there anything to help? I don't want to buy another one if it will turn yellow also.","3.0 out of 5 stars"
"1706604080-33","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Not expected quality from OtterBox","I purchased this case in March and not even a full 6 months later the silicone on the bottom of the case is sagging with a noticeable gap and loose on the sides. On the positive, OtterBox will replace the item without reservation but with shipping fees. I just expected more durability from OtterBox. I am hoping this was exception to the standard. Overall, I really do like the case but would like to see it hold up better.","2.0 out of 5 stars"
"1706604080-34","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Issues with lining and magnet","The case has protected my phone from damage. It has a sturdy feel to it, however, the lining on the case has reliability issues as I purchased a clear case 5 months ago and the lining has turned a greenish color. The lining has also separated from the hard plastic near the charging port due to repeatedly pulling out of my pocket. I haven’t used a mag safe charger but the bottom magnet has become loose and sometimes falls out. I purchased this case because otter box makes sturdy cases but for the money being spent you could buy multiple cheap cases that will not look aged in as short a time. The case will protect your phone but it won’t look good after a few months.","2.0 out of 5 stars"
"1706604080-35","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Protege el teléfono pero no es muy duradera","Compré esta funda porque a comparación de la original de apple que es rígida esta es más flexible y protegía mas el teléfono pero después de un par de semanas se puso amarilla y un poco más de tiempo y se despegaron sus partes incluso se le despegó el imán del MagSafe","3.0 out of 5 stars"
"1706604080-36","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Plenty of drops without any concern","I have a tendency to drop my phone quite a bit, and lets say that this case has thoroughly protected my phone. I have always been an otter box user, but this case may be the best protection to date.","5.0 out of 5 stars"
"1706604080-37","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Activate and Set up a new phone before putting on this case","I made the mistake of putting the case on after charging but before activating and setting up the iPhone13 Pro.  BIG MISTAKE.  Starting with the phone off, by the time the box was on, the phone had turned on and set to Italian making it impossible for me to activate the phone.  Turning off and on using the case is difficult and awkward, the phone buttons are difficult to press (other then when putting the case on).","4.0 out of 5 stars"
"1706604080-38","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","The Phone Case didn’t even last a year…","But this case in July 2023 and it’s already breaking in November 2023. I thought otterbox was supposed to last given its price…","2.0 out of 5 stars"
"1706604080-39","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","SO much better","I tried the cheaper cases that look like otterbox but there is a MAJOR difference in the quality. This case is SO much better than the others I have tried magnetic charger works easily with case and magnet is strong enough to use with magnetic car mount.","5.0 out of 5 stars"
"1706604080-40","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sweet case","I really like this case. It doesn’t leave any noticeable fingerprints and offers better protection than the Apple Clear MagSafe case. This is fantastic alternative and the MagSafe is great. I use it with the MagSafe charger and on my cars MagSafe dock and have no issues.","5.0 out of 5 stars"
"1706604080-41","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Magsafe works well but sharp edges and minimal protection lips","Magsafe attachment works well, but sharp edges are unpleasant when holding the case, and the protection lips are very minimal (apparently part of the ""slim"" design).","3.0 out of 5 stars"
"1706604080-42","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great product for value","Works as it should.  Would definitely buy again.  Protects all around.  Strong and sturdy especially on the corners.  Highly recommend.","5.0 out of 5 stars"
"1706604080-43","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Not as good as they used to be","Didn’t even make it 6 months before the silicone bumper bowed out away deom the case at the bottom","3.0 out of 5 stars"
"1706604080-44","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Pretty Sturdy","Good case but yellowed and broke within a year. Did save my phone from quite a few falls though with only one screen crack.","3.0 out of 5 stars"
"1706604080-45","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Love!","My husband got me this phone case for Christmas and it’s exactly what I wanted! Practical, sleek and has stayed true clear (no yellow tint/undertone) after three months of everyday use!","5.0 out of 5 stars"
"1706604080-46","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Falling apart and changing color","I bought this case roughly a year ago. On the plus side, my phone has not broken, whether that is due to the case or the phone, I do not know. On the flip side, it is no longer clear, the silicone bumper around the sides has yellowed and browned. It also gaps out and is separating from the case in multiple spots. I expect that from a cheap generic case, but Otterbox carries a premium price and should actually be a premium product. The $10 case I bought for my daughter’s phone at the same time looks far better.","2.0 out of 5 stars"
"1706604080-47","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Only last 6 months","This case started splitting at the seams within the first 6 months of having it on my phone. Past cases have lasted the entire time having my phone2+years","2.0 out of 5 stars"
"1706604080-48","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Love this case","I love how slim it is and so far no yellowing like the cheap ones. I have had it for a couple of months and drop my phone almost daily with no problems. No dints or dings. I love it.","5.0 out of 5 stars"
"1706604080-49","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Yellowing already.","Less than the three months and the rubber is already starting to yellow. As well as the corners are beginning to crack.","3.0 out of 5 stars"
"1706604080-50","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","nice grippy slim case","excellent grippy silicon rails , relatively easy to slip onto & off  iphone 13 pro; excellent cutout for the camera lenses (fwiw the QHOHQ lense cover fit perfectly into the cutout); excellent buy at 40% off list","5.0 out of 5 stars"
"1706604080-51","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Case doesn't take away from the iPhones looks","This is a great case by Otterbox. I love that it doesn't take away from the look of the iPhone.  I had a solid case on my 13 pro for a while but didn't like that it took away from the look and color of the phone. This case is very easy to hold and does a great job of protecting the phone.","5.0 out of 5 stars"
"1706604080-52","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","OtterBox clear","I say a 3 out of 10 review
The case was good in the beginning, but in the long run fell apart, and the clear fogged up. I say not a good case in the long run but by far one of the better clear cases out there.","2.0 out of 5 stars"
"1706604080-53","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Love it","Otter box for life! I’ve always been an otter box person. But I tried to use another brand clear case I got at the phone store but I couldn’t use the mag charger with it and it kept slipping out of my hands. This one has good grippy sides, and I can charge it with out taking the case off.","5.0 out of 5 stars"
"1706604080-54","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Discoloring after 1.5 months of use","Feels like it will protect the phone but disappointing that’s it’s already turning yellowish after only 1.5 months of use. Not holding up very well.","3.0 out of 5 stars"
"1706604080-55","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Life saver","Just dropped my new IPhone 13Pro down a flight of stairs. Held my breath and can say with 100 certainty this case works well. Not a scratch and phone is in perfect working order. I guess that’s to be expected but you never know these days. So the case looks great and works very well.","5.0 out of 5 stars"
"1706604080-56","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Yellowed and case tore at the charging port in 6 months.","Case actually yellowed within 3-4 months and other reviewers have shown photos of the tearing by the charging port.","2.0 out of 5 stars"
"1706604080-57","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Works great","Magnet case works great with car mount.","5.0 out of 5 stars"
"1706604080-58","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Discoloration","I first gave this a 4 star rating because I mean it’s an otterbox. But I have had this item for about 8mo now. I am not hard on phones or cases. The discoloration on it and the expanding of the bottom part is quite concerning. I now want a different phone case. I do not feel this is going to continue to protect my phone.","2.0 out of 5 stars"
"1706604080-59","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","hbj","It's good but the magsafe circle is a bit off center but other than that it's perfect","4.0 out of 5 stars"
"1706604080-60","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","OtterBox","Love OtterBox products, that’s why I continue to buy. No issues.. ever..","5.0 out of 5 stars"
"1706604080-61","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Love it!!","So cute!","5.0 out of 5 stars"
"1706604080-62","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Weirdly discolored","The case is durable but discolored. I bought it July 2022 and took this photo Jan. 2023.","3.0 out of 5 stars"
"1706604080-63","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I like it","Good case for the money. I drop my phone probably once per month on a hard surface and it holds up","5.0 out of 5 stars"
"1706604080-64","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","This was amazing !","I never thought that will be come with no scratches","5.0 out of 5 stars"
"1706604080-65","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Easy to install for max protection","It is much better than the Plastic 0ne I had on my previous phone.  It seems to be more responsive to the touch screen.  The protector for the camera lens is very good.  Everything was easy to install.  Everything you need is included, and the internet instructions are easy to follow.","5.0 out of 5 stars"
"1706604080-66","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","This is my favorite phone case.","I love the durability of this case, also it last a long time without yellowing.","5.0 out of 5 stars"
"1706604080-67","https://www.amazon.com/OtterBox-Symmetry-Antimicrobial-MagSafe-iPhone/product-reviews/B09LPLF4K7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","The fit is perfect","The buttons are great to press and the general feel is great","5.0 out of 5 stars"
